commentId,documentId,agencyId,year,max_cosine,min_edit_distance,max_lcs,max_lcs_pct,comment_length,polarity,n_all_comments,n_doc_dupe_comments,pct_doc_dupe_comments,n_gt90,pct_gt90,all_tokens,unique_tokens,rare_tokens,pct_rare_tokens,form_letter
SBA-2018-0009-4144,SBA-2018-0009-4112,SBA,2020,0.22409857663856,174,31,0.124,393,1,134,69,0.5348837209302325,7,0.05426356589147287,37,26,1,0.02702702702702703,n
SBA-2018-0009-4147,SBA-2018-0009-4112,SBA,2020,0.35136520312345,165,34,0.136,619,0.2,134,69,0.5348837209302325,7,0.05426356589147287,58,46,7,0.1206896551724138,n
SBA-2018-0009-4148,SBA-2018-0009-4112,SBA,2020,0.35689410903677,165,27,0.108,687,-0.1111111111111111,134,69,0.5348837209302325,7,0.05426356589147287,66,56,5,0.07575757575757576,n
SBA-2018-0009-4149,SBA-2018-0009-4112,SBA,2020,0.55913056749918,76,67,0.268,849,0.14285714285714285,134,69,0.5348837209302325,7,0.05426356589147287,72,54,3,0.041666666666666664,n
SBA-2018-0009-4151,SBA-2018-0009-4112,SBA,2020,0.44337296593804,174,43,0.172,372,-0.5,134,69,0.5348837209302325,7,0.05426356589147287,34,26,0,0,n
SBA-2018-0009-4152,SBA-2018-0009-4112,SBA,2020,0.73802072931759,112,44,0.176,526,-0.3333333333333333,134,69,0.5348837209302325,7,0.05426356589147287,48,36,1,0.020833333333333332,n
SBA-2018-0009-4154,SBA-2018-0009-4112,SBA,2020,0.75507257869518,64,105,0.42,493,0.14285714285714285,134,69,0.5348837209302325,7,0.05426356589147287,49,37,6,0.12244897959183673,y
SBA-2018-0009-4157,SBA-2018-0009-4112,SBA,2020,0.97300304008764,123,187,0.748,1557,0.5,134,69,0.5348837209302325,7,0.05426356589147287,147,100,19,0.1292517006802721,y
SBA-2018-0009-4158,SBA-2018-0009-4112,SBA,2020,0.16661165626603,188,18,0.072,729,1,134,69,0.5348837209302325,7,0.05426356589147287,57,44,9,0.15789473684210525,n
SBA-2018-0009-4160,SBA-2018-0009-4112,SBA,2020,0.40055612742474,189,12,0.048,1523,-0.1111111111111111,134,69,0.5348837209302325,7,0.05426356589147287,159,111,17,0.1069182389937107,n
SBA-2018-0009-4161,SBA-2018-0009-4112,SBA,2020,0.45182834126109,167,32,0.128,968,-0.16666666666666666,134,69,0.5348837209302325,7,0.05426356589147287,82,58,10,0.12195121951219512,n
SBA-2018-0009-4162,SBA-2018-0009-4112,SBA,2020,0.42410981488538,136,48,0.192,938,0.29411764705882354,134,69,0.5348837209302325,7,0.05426356589147287,88,75,9,0.10227272727272728,n
SBA-2018-0009-4163,SBA-2018-0009-4112,SBA,2020,0.53272330666566,136,48,0.192,1195,0.3333333333333333,134,69,0.5348837209302325,7,0.05426356589147287,105,80,9,0.08571428571428572,n
SBA-2018-0009-4164,SBA-2018-0009-4112,SBA,2020,0.50472994737821,89,142,0.568,1237,-0.030303030303030304,134,69,0.5348837209302325,7,0.05426356589147287,115,75,11,0.09565217391304348,n
SBA-2018-0009-4165,SBA-2018-0009-4112,SBA,2020,0.53272330666566,153,40,0.16,615,0.6666666666666666,134,69,0.5348837209302325,7,0.05426356589147287,53,43,5,0.09433962264150944,n
SBA-2018-0009-4166,SBA-2018-0009-4112,SBA,2020,0.15672306567339,186,12,0.048,570,0.3333333333333333,134,69,0.5348837209302325,7,0.05426356589147287,48,44,7,0.14583333333333334,n
SBA-2018-0009-4167,SBA-2018-0009-4112,SBA,2020,0.41828508032454,174,31,0.124,4672,0.6470588235294118,134,69,0.5348837209302325,7,0.05426356589147287,405,172,41,0.10123456790123457,n
SBA-2018-0009-4168,SBA-2018-0009-4112,SBA,2020,0.45551527983398,172,25,0.1,692,-0.2,134,69,0.5348837209302325,7,0.05426356589147287,60,48,6,0.1,n
